Código EAP;Item / Descrição;Disciplina;Qtd Projeto;Unidade;Preço Unitário (R$);Preço Total Turnkey (R$);% Mês 1;R$ Mês 1;% Mês 2;R$ Mês 2;% Mês 3;R$ Mês 3;% Mês 4;R$ Mês 4;% Mês 5;R$ Mês 5;% Mês 6;R$ Mês 6
3.1.23;Disjuntor Termomagnético DIN Monopolar 10A/16A/20A;Elétrica;28.0;unid;R$ 24,04;R$ 673,12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;673.12
3.1.24;Disjuntor Termomagnético DIN Bipolar/Tripolar 25A/32A;Elétrica;18.0;unid;R$ 66,13;R$ 1.190,34;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1190.34
3.1.25;Interruptor Diferencial Residual DR Tetrapolar 40A 30mA;Elétrica;4.0;unid;R$ 209,83;R$ 839,32;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;839.32
3.1.26;Dispositivo de Proteção contra Surtos DPS 20kA 275V;Elétrica;8.0;unid;R$ 86,48;R$ 691,84;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;691.84
3.1.27;Painel LED Embutir 60x60cm 40W 4000K;Elétrica;68.0;unid;R$ 99,83;R$ 6.788,44;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;6788.44
3.1.28;Luminária Hermética LED 2x18W IP65 (Áreas Técnicas);Elétrica;16.0;unid;R$ 146,25;R$ 2.340,00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2340.0
3.1.29;Bloco Iluminação de Emergência LED 2x8W c/ Bateria;Elétrica;14.0;unid;R$ 78,85;R$ 1.103,90;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1103.9
3.1.30;"Haste de Aterramento Copperweld 3/4"" x 3,00m + Malha";Elétrica;6.0;unid;R$ 184,40;R$ 1.106,40;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1106.4;0.0;0.0;0.0;0.0
3.2.1;"Tubo PVC Soldável Água Fria Ø25mm (3/4"")";Hidráulica;180.0;m;R$ 11,38;R$ 2.048,40;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2048.4;0.0;0.0;0.0;0.0
3.2.2;"Tubo PVC Soldável Água Fria Ø50mm (1.1/2"")";Hidráulica;95.0;m;R$ 28,99;R$ 2.754,05;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2754.05;0.0;0.0;0.0;0.0
3.2.3;Tubo PVC Esgoto Série Normal Ø40mm;Hidráulica;64.0;m;R$ 15,90;R$ 1.017,60;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1017.6;0.0;0.0;0.0;0.0
3.2.4;Tubo PVC Esgoto Série Normal Ø75mm;Hidráulica;42.0;m;R$ 24,04;R$ 1.009,68;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1009.68;0.0;0.0;0.0;0.0
3.2.5;Tubo PVC Esgoto Série Normal Ø100mm;Hidráulica;140.0;m;R$ 33,74;R$ 4.723,60;0.0;0.0;0.0;0.0;0.0;0.0;1.0;4723.6;0.0;0.0;0.0;0.0
3.2.6;Tubo PVC Pluvial Série Reforçada Ø150mm;Hidráulica;110.0;m;R$ 53,41;R$ 5.875,10;0.0;0.0;0.0;0.0;0.0;0.0;1.0;5875.1;0.0;0.0;0.0;0.0
3.2.7;Joelho 90º PVC Soldável Ø25mm;Hidráulica;86.0;unid;R$ 2,35;R$ 202,10;0.0;0.0;0.0;0.0;0.0;0.0;1.0;202.1;0.0;0.0;0.0;0.0
3.2.8;"Joelho 90º c/ Bucha de Latão Ø25mm x 1/2""";Hidráulica;32.0;unid;R$ 6,61;R$ 211,52;0.0;0.0;0.0;0.0;0.0;0.0;1.0;211.52;0.0;0.0;0.0;0.0
3.2.9;Joelho 90º PVC Soldável Ø50mm;Hidráulica;24.0;unid;R$ 8,65;R$ 207,60;0.0;0.0;0.0;0.0;0.0;0.0;1.0;207.6;0.0;0.0;0.0;0.0
3.2.10;Tê 90º PVC Soldável Ø25mm;Hidráulica;48.0;unid;R$ 3,69;R$ 177,12;0.0;0.0;0.0;0.0;0.0;0.0;1.0;177.12;0.0;0.0;0.0;0.0
3.2.11;Tê 90º Redução PVC Soldável Ø50x25mm;Hidráulica;18.0;unid;R$ 10,81;R$ 194,58;0.0;0.0;0.0;0.0;0.0;0.0;1.0;194.58;0.0;0.0;0.0;0.0
3.2.12;Curva de Transposição PVC Soldável Ø25mm;Hidráulica;14.0;unid;R$ 7,88;R$ 110,32;0.0;0.0;0.0;0.0;0.0;0.0;1.0;110.32;0.0;0.0;0.0;0.0
3.2.13;Joelho 90º PVC Esgoto Ø100mm;Hidráulica;36.0;unid;R$ 11,95;R$ 430,20;0.0;0.0;0.0;0.0;0.0;0.0;1.0;430.2;0.0;0.0;0.0;0.0
3.2.14;Joelho 45º PVC Esgoto Ø100mm;Hidráulica;22.0;unid;R$ 11,32;R$ 249,04;0.0;0.0;0.0;0.0;0.0;0.0;1.0;249.04;0.0;0.0;0.0;0.0
3.2.15;Junção 45º Y PVC Esgoto Ø100x50mm;Hidráulica;18.0;unid;R$ 20,98;R$ 377,64;0.0;0.0;0.0;0.0;0.0;0.0;1.0;377.64;0.0;0.0;0.0;0.0
3.2.16;Tê Sanitário 90º PVC Esgoto Ø100x100mm;Hidráulica;12.0;unid;R$ 23,14;R$ 277,68;0.0;0.0;0.0;0.0;0.0;0.0;1.0;277.68;0.0;0.0;0.0;0.0
3.2.17;"Registro de Gaveta Bruto c/ Canopla Cromada Ø25mm (3/4"")";Hidráulica;12.0;unid;R$ 106,56;R$ 1.278,72;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1278.72;0.0;0.0;0.0;0.0
3.2.18;"Registro de Gaveta Bruto c/ Canopla Cromada Ø50mm (1.1/2"")";Hidráulica;4.0;unid;R$ 180,58;R$ 722,32;0.0;0.0;0.0;0.0;0.0;0.0;1.0;722.32;0.0;0.0;0.0;0.0
3.2.19;Registro de Pressão c/ Canopla Cromada Ø20mm (Chuveiros);Hidráulica;6.0;unid;R$ 87,11;R$ 522,66;0.0;0.0;0.0;0.0;0.0;0.0;1.0;522.66;0.0;0.0;0.0;0.0
3.2.20;Válvula de Retenção Vertical Ø50mm;Hidráulica;2.0;unid;R$ 108,09;R$ 216,18;0.0;0.0;0.0;0.0;0.0;0.0;1.0;216.18;0.0;0.0;0.0;0.0
3.2.21;Reservatório de Água Potável Polietileno 5.000 L c/ Tampa;Hidráulica;2.0;unid;R$ 3.047,50;R$ 6.095,00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;6095.0
3.2.22;Ralo Sifonado PVC 150x150x50mm Grelha Inox;Hidráulica;14.0;unid;R$ 61,68;R$ 863,52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;863.52
3.2.23;Caixa de Gordura Pré-moldada Concreto 100L;Hidráulica;2.0;unid;R$ 483,25;R$ 966,50;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;966.5
3.2.24;Caixa de Inspeção Esgoto Concreto 60x60x60cm c/ Tampa;Hidráulica;6.0;unid;R$ 368,79;R$ 2.212,74;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2212.74
3.2.25;Bacia Sanitária c/ Caixa Acoplada 3/6L e Assento;Hidráulica;10.0;unid;R$ 750,35;R$ 7.503,50;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;7503.5
3.2.26;Lavatório Louça Branca c/ Torneira Automática de Mesa;Hidráulica;12.0;unid;R$ 521,40;R$ 6.256,80;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;6256.8
3.2.27;Sifão Sanfonado Universal PVC c/ Adaptador;Hidráulica;14.0;unid;R$ 18,44;R$ 258,16;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;258.16
3.2.28;"Engate Flexível Inox 1/2"" 40cm";Hidráulica;22.0;unid;R$ 27,98;R$ 615,56;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;615.56
3.2.29;"Válvula de Escoamento Inox 7/8"" para Lavatório";Hidráulica;12.0;unid;R$ 35,61;R$ 427,32;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;427.32
3.2.30;Fita Veda-Rosca PTFE 18mm x 50m;Hidráulica;12.0;rolo;R$ 10,81;R$ 129,72;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;129.72
3.3.1;Aparelho Split Cassete 36.000 BTU/h Inverter R410A;HVAC;4.0;unid;R$ 11.818,64;R$ 47.274,56;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;47274.56
3.3.2;Aparelho Split Hi-Wall 18.000 BTU/h Inverter R410A;HVAC;6.0;unid;R$ 4.174,33;R$ 25.045,98;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;25045.98
3.3.3;Aparelho Split Hi-Wall 12.000 BTU/h Inverter R410A;HVAC;6.0;unid;R$ 2.901,81;R$ 17.410,86;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;17410.86
3.3.4;"Tubulação Cobre Flexível Ø3/8""+Ø5/8"" c/ Isolamento";HVAC;180.0;m;R$ 104,92;R$ 18.885,60;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;18885.6;0.0;0.0
3.3.5;Tubo PVC Condensado Ø25mm c/ Isolamento;HVAC;120.0;m;R$ 31,42;R$ 3.770,40;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;3770.4;0.0;0.0
3.3.6;Exaustor Axial de Parede/Teto 150 m³/h;HVAC;6.0;unid;R$ 253,00;R$ 1.518,00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1518.0;0.0;0.0
