Código EAP;Item / Descricao;Disciplina;Qtd Projeto;Unidade Proj;Perda (%);Qtd Comercial UCC;Unidade UCC;Prancha Referencia;Preço Unitário (R$);Custo Total (R$);Preco_Total;Preco_Unit;Pct_Individual;Pct_Acumulado;Classe_ABC
2.1.5.6;Lona Plástica Preta p/ Proteção de Pisos Assentados;Arquitetura;368.4;m²;5.0;4.0;bobinas de 100m²;AÇU-3.DES-2.3100-15-EGS-015;R$ 2,84;R$ 1.046,26;1046.26;2.84;0.06299878149930044;98.43437617092316;C
3.2.3;Tubo PVC Esgoto Série Normal Ø40mm;Hidráulica;64.0;m;10.0;12.0;varas de 6m (72m);AÇU-3.DES-2.3100-16-EGS-015;R$ 15,90;R$ 1.017,60;1017.6;15.9;0.06127306793119121;98.49564923885436;C
3.2.4;Tubo PVC Esgoto Série Normal Ø75mm;Hidráulica;42.0;m;10.0;8.0;varas de 6m (48m);AÇU-3.DES-2.3100-16-EGS-015;R$ 24,04;R$ 1.009,68;1009.68;24.04;0.06079617848738712;98.55644541734175;C
3.2.23;Caixa de Gordura Pré-moldada Concreto 100L;Hidráulica;2.0;unid;0.0;2.0;unidades;AÇU-3.DES-2.3100-16-EGS-015;R$ 483,25;R$ 966,50;966.5;483.25;0.05819616760563709;98.61464158494739;C
3.2.22;Ralo Sifonado PVC 150x150x50mm Grelha Inox;Hidráulica;14.0;unid;0.0;14.0;unidades;AÇU-3.DES-2.3100-16-EGS-015;R$ 61,68;R$ 863,52;863.52;61.68;0.05199540056991178;98.6666369855173;C
3.1.17;"Rack Metalico Telecom 19"" 12U de Parede";Telecom;1.0;unid;0.0;1.0;unidade;AÇU-3.DES-2.3100-16-EGS-013;R$ 862,50;R$ 862,50;862.5;862.5;0.05193398299002793;98.71857096850732;C
3.1.25;Interruptor Diferencial Residual DR Tetrapolar 40A 30mA;Elétrica;4.0;unid;0.0;4.0;unidades;AÇU-3.DES-2.3100-16-EGS-013;R$ 209,83;R$ 839,32;839.32;209.83;0.05053823838051043;98.76910920688783;C
2.1.1.5;Barra de Aço CA-50 Ø8,0mm p/ Vergas/Contravergas;Arquitetura;224.8;m;5.0;20.0;barras 12m (93.2 kg);AÇU-3.DES-2.3100-15-EGS-015/018;R$ 3,34;R$ 750,83;750.83;3.34;0.04520996225901759;98.81431916914686;C
3.1.7;"Caixa de Embutir 4x2"" PVC Amarela para Parede";Elétrica;184.0;unid;5.0;194.0;unidades;AÇU-3.DES-2.3100-16-EGS-013;R$ 4,07;R$ 748,88;748.88;4.07;0.04509254629747492;98.85941171544432;C
1.1.1;Escavação Mecanizada/Manual de Cavas e Valas (Geometria Líquida);Infraestrutura;51.27;m³;0.0;51.27;m³;AÇU-3.DES-2.3100-11-EGS-051/052;R$ 14,28;R$ 732,14;732.14;14.28;0.044084575427616284;98.90349629087194;C
2.1.9.4;Batedores de Porta para Piso c/ Amortecedor Inox;Arquitetura;26.0;unid;0.0;26.0;unidades;AÇU-3.DES-2.3100-15-EGS-018;R$ 27,98;R$ 727,48;727.48;27.98;0.04380398138618611;98.94730027225813;C
3.2.18;"Registro de Gaveta Bruto c/ Canopla Cromada Ø50mm (1.1/2"")";Hidráulica;4.0;unid;0.0;4.0;unidades;AÇU-3.DES-2.3100-16-EGS-015;R$ 180,58;R$ 722,32;722.32;180.58;0.043493280687950116;98.99079355294609;C
2.1.6.2;Argamassa Colante AC-II p/ Cerâmica Parede;Arquitetura;421.0;kg;5.0;23.0;sacos 20kg;AÇU-3.DES-2.3100-15-EGS-018;R$ 1,70;R$ 715,70;715.7;1.7;0.04309466855184115;99.03388822149793;C
3.1.26;Dispositivo de Proteção contra Surtos DPS 20kA 275V;Elétrica;8.0;unid;0.0;8.0;unidades;AÇU-3.DES-2.3100-16-EGS-013;R$ 86,48;R$ 691,84;691.84;86.48;0.041657978889067734;99.075546200387;C
3.1.23;Disjuntor Termomagnético DIN Monopolar 10A/16A/20A;Elétrica;28.0;unid;5.0;30.0;unidades;AÇU-3.DES-2.3100-16-EGS-013;R$ 24,04;R$ 673,12;673.12;24.04;0.04053078565825809;99.11607698604526;C
2.2.2.2;"Chumbadores Parabolts CBA 3/8"" x 3"" p/ Terças";Cobertura;60.0;unid;5.0;63.0;unidades;AÇU-3.DES-2.3100-15-EGS-017;R$ 10,81;R$ 648,60;648.6;10.81;0.039054355208501;99.15513134125376;C
3.2.28;"Engate Flexível Inox 1/2"" 40cm";Hidráulica;22.0;unid;5.0;24.0;unidades;AÇU-3.DES-2.3100-16-EGS-015;R$ 27,98;R$ 615,56;615.56;27.98;0.03706490732677285;99.19219624858054;C
2.2.1.4;Fita de Vedação Butílica Autoadesiva 15mm;Cobertura;122.0;m;5.0;13.0;rolos de 10m;AÇU-3.DES-2.3100-15-EGS-017;R$ 4,83;R$ 589,26;589.26;4.83;0.03548129717878708;99.22767754575933;C
2.1.1.10;Pinos de Aço c/ Arruela p/ Finca-Pinos à Pólvora;Arquitetura;706.0;unid;5.0;8.0;caixas 100un (742 un);AÇU-3.DES-2.3100-15-EGS-015;R$ 0,83;R$ 585,98;585.98;0.83;0.03528379751014094;99.26296134326948;C
2.2.6.2;Primer Asfáltico Base Solvente p/ Calhas;Cobertura;24.8;L;5.0;2.0;baldes de 18L (36 L);AÇU-3.DES-2.3100-15-EGS-017/019;R$ 23,53;R$ 583,54;583.54;23.53;0.03513687702492858;99.2980982202944;C
2.1.8.3;Lixa Grossa p/ Reboco (Grão 80/100);Arquitetura;106.0;unid;5.0;112.0;folhas;AÇU-3.DES-2.3100-15-EGS-015;R$ 5,12;R$ 542,72;542.72;5.12;0.03267896956330198;99.33077718985771;C
3.1.22;Disjuntor Geral Caixa Moldada 150A Trifásico;Elétrica;1.0;unid;0.0;1.0;unidade;AÇU-3.DES-2.3100-16-EGS-013;R$ 534,11;R$ 534,11;534.11;534.11;0.032160532933105876;99.36293772279082;C
1.1.2;Apiloamento e Compactação do Fundo de Cava/Vala Líquido;Infraestrutura;60.74;m²;0.0;60.74;m²;AÇU-3.DES-2.3100-11-EGS-051/052;R$ 8,65;R$ 525,40;525.4;8.65;0.031636074971548606;99.39457379776236;C
3.2.19;Registro de Pressão c/ Canopla Cromada Ø20mm (Chuveiros);Hidráulica;6.0;unid;0.0;6.0;unidades;AÇU-3.DES-2.3100-16-EGS-015;R$ 87,11;R$ 522,66;522.66;87.11;0.031471090492252746;99.42604488825461;C
2.1.6.4;Espaçadores / Cruzetas Plásticas 2mm e 3mm;Arquitetura;2715.0;unid;0.0;28.0;sacos 100un;AÇU-3.DES-2.3100-15-EGS-015/018;R$ 0,19;R$ 515,85;515.85;0.19;0.031061037826557572;99.45710592608117;C
3.1.12;Módulo de Tomada 2P+T 20A / 250V (Vermelha TUE);Elétrica;24.0;unid;5.0;26.0;unidades;AÇU-3.DES-2.3100-16-EGS-013;R$ 21,36;R$ 512,64;512.64;21.36;0.030867753089864253;99.48797367917103;C
2.1.5.3;Rejunte Flexível p/ Porcelanato Junta 2mm;Arquitetura;92.1;kg;5.0;20.0;sacos 5kg;AÇU-3.DES-2.3100-15-EGS-015/016;R$ 5,37;R$ 494,58;494.58;5.37;0.029780300646038278;99.51775397981707;C
2.1.11.2;Tela de Poliéster / Véu de Reforço Impermeabilização;Arquitetura;92.6;m²;5.0;2.0;rolos de 50m²;AÇU-3.DES-2.3100-15-EGS-015/016;R$ 5,34;R$ 494,48;494.48;5.34;0.02977427931467711;99.54752825913175;C
2.2.7;Ralo Hemisférico Tipo Abacaxi Inox Ø150mm para Calhas;Cobertura;8.0;unid;0.0;8.0;unidades;AÇU-3.DES-2.3100-15-EGS-015/017;R$ 61,04;R$ 488,32;488.32;61.04;0.02940336530282949;99.57693162443458;C
1.1.15;Bota-fora e Carga de Terra c/ Empolamento 1,25 Líquido;Infraestrutura;20.1;m³;0.0;25.13;m³ (3 caminhões 12m³);AÇU-3.DES-2.3100-11-EGS-051/052;R$ 23,53;R$ 472,95;472.95;23.53;0.02847788667261879;99.6054095111072;C
3.2.13;Joelho 90º PVC Esgoto Ø100mm;Hidráulica;36.0;unid;5.0;38.0;unidades;AÇU-3.DES-2.3100-16-EGS-015;R$ 11,95;R$ 430,20;430.2;11.95;0.025903767515721755;99.63131327862293;C
3.2.29;"Válvula de Escoamento Inox 7/8"" para Lavatório";Hidráulica;12.0;unid;5.0;13.0;unidades;AÇU-3.DES-2.3100-16-EGS-015;R$ 35,61;R$ 427,32;427.32;35.61;0.025730353172520273;99.65704363179545;C
3.1.9;"Caixa Octogonal 3x3"" PVC para Teto";Elétrica;68.0;unid;5.0;72.0;unidades;AÇU-3.DES-2.3100-16-EGS-013;R$ 5,72;R$ 388,96;388.96;5.72;0.023420570462378273;99.68046420225782;C
3.2.15;Junção 45º Y PVC Esgoto Ø100x50mm;Hidráulica;18.0;unid;5.0;19.0;unidades;AÇU-3.DES-2.3100-16-EGS-015;R$ 20,98;R$ 377,64;377.64;20.98;0.022738955752294662;99.70320315801011;C
3.1.13;Módulo Interruptor Simples 10A;Elétrica;22.0;unid;5.0;24.0;unidades;AÇU-3.DES-2.3100-16-EGS-013;R$ 15,90;R$ 349,80;349.8;15.9;0.021062617101346978;99.72426577511146;C
2.1.8.5;Fita Crepe 24mm x 50m p/ Pintura e Proteções;Arquitetura;604.0;m;5.0;13.0;rolos de 50m;AÇU-3.DES-2.3100-15-EGS-015/019;R$ 0,57;R$ 344,28;344.28;0.57;0.0207302396102108;99.74499601472168;C
2.1.9.5;Espuma de Poliuretano Expansiva 750ml p/ Marcos;Arquitetura;9.6;unid;5.0;11.0;tubos de 750ml;AÇU-3.DES-2.3100-15-EGS-018;R$ 34,34;R$ 329,66;329.66;34.34;0.019849920965208823;99.76484593568689;C
2.2.1.3;"Parafusos de Costura 10x3/4"" c/ Arruela EPDM";Cobertura;364.0;unid;5.0;4.0;caixas 100un (383 un);AÇU-3.DES-2.3100-15-EGS-017;R$ 0,83;R$ 302,12;302.12;0.83;0.018191646308344626;99.78303758199523;C
3.2.16;Tê Sanitário 90º PVC Esgoto Ø100x100mm;Hidráulica;12.0;unid;5.0;13.0;unidades;AÇU-3.DES-2.3100-16-EGS-015;R$ 23,14;R$ 277,68;277.68;23.14;0.016720032923676468;99.7997576149189;C
3.2.27;Sifão Sanfonado Universal PVC c/ Adaptador;Hidráulica;14.0;unid;5.0;15.0;unidades;AÇU-3.DES-2.3100-16-EGS-015;R$ 18,44;R$ 258,16;258.16;18.44;0.01554466904197752;99.81530228396088;C
3.2.14;Joelho 45º PVC Esgoto Ø100mm;Hidráulica;22.0;unid;5.0;24.0;unidades;AÇU-3.DES-2.3100-16-EGS-015;R$ 11,32;R$ 249,04;249.04;11.32;0.014995523621839485;99.83029780758271;C
2.2.4.3;Selante PU 40 p/ Calafetação de Calhas e Rufos;Cobertura;6.0;unid;5.0;6.0;tubos de 310ml;AÇU-3.DES-2.3100-15-EGS-017;R$ 36,24;R$ 217,44;217.44;36.24;0.013092782911712083;99.84339059049442;C
3.2.20;Válvula de Retenção Vertical Ø50mm;Hidráulica;2.0;unid;0.0;2.0;unidades;AÇU-3.DES-2.3100-16-EGS-015;R$ 108,09;R$ 216,18;216.18;108.09;0.013016914136561435;99.85640750463098;C
3.2.8;"Joelho 90º c/ Bucha de Latão Ø25mm x 1/2""";Hidráulica;32.0;unid;5.0;34.0;unidades;AÇU-3.DES-2.3100-16-EGS-015;R$ 6,61;R$ 211,52;211.52;6.61;0.012736320095131254;99.86914382472611;C
3.2.9;Joelho 90º PVC Soldável Ø50mm;Hidráulica;24.0;unid;5.0;26.0;unidades;AÇU-3.DES-2.3100-16-EGS-015;R$ 8,65;R$ 207,60;207.6;8.65;0.01250028390577368;99.88164410863189;C
3.2.7;Joelho 90º PVC Soldável Ø25mm;Hidráulica;86.0;unid;5.0;91.0;unidades;AÇU-3.DES-2.3100-16-EGS-015;R$ 2,35;R$ 202,10;202.1;2.35;0.012169110680909732;99.8938132193128;C
3.2.11;Tê 90º Redução PVC Soldável Ø50x25mm;Hidráulica;18.0;unid;5.0;19.0;unidades;AÇU-3.DES-2.3100-16-EGS-015;R$ 10,81;R$ 194,58;194.58;10.81;0.0117163065625503;99.90552952587535;C
2.2.6.3;Gás GLP P-13 p/ Maçarico de Manta Asfáltica;Cobertura;1.24;unid;0.0;2.0;botijões P-13;AÇU-3.DES-2.3100-15-EGS-017;R$ 146,25;R$ 181,35;181.35;146.25;0.010919684423468481;99.91644921029882;C
3.2.10;Tê 90º PVC Soldável Ø25mm;Hidráulica;48.0;unid;5.0;51.0;unidades;AÇU-3.DES-2.3100-16-EGS-015;R$ 3,69;R$ 177,12;177.12;3.69;0.0106649821068913;99.92711419240571;C
3.1.8;"Caixa de Embutir 4x4"" PVC Amarela para Parede";Elétrica;24.0;unid;5.0;26.0;unidades;AÇU-3.DES-2.3100-16-EGS-013;R$ 7,38;R$ 177,12;177.12;7.38;0.0106649821068913;99.9377791745126;C
3.1.14;Módulo Interruptor Paralelo (Three-Way) 10A;Elétrica;8.0;unid;5.0;9.0;unidades;AÇU-3.DES-2.3100-16-EGS-013;R$ 19,33;R$ 154,64;154.64;19.33;0.009311386816901935;99.9470905613295;C
1.2.9;Enchimento com Blocos de EPS B16/30/100 para Lajes H12;Supraestrutura;1148.0;unid;5.0;1206.0;unidades;AÇU-3.DES-2.3100-11-EGS-055;R$ 0,13;R$ 149,24;149.24;0.13;0.008986234923399151;99.9560767962529;C
2.2.4.2;Rebites de Repuxo em Alumínio 4,0x10mm p/ Calhas/Rufos;Cobertura;440.0;unid;5.0;5.0;centos (500 rebites);AÇU-3.DES-2.3100-15-EGS-017;R$ 0,32;R$ 140,80;140.8;0.32;0.008478034556517024;99.96455483080942;C
2.1.6.3;Rejunte Cerâmico Antimofo Junta 3mm;Arquitetura;25.3;kg;5.0;6.0;sacos 5kg;AÇU-3.DES-2.3100-15-EGS-018;R$ 5,37;R$ 135,86;135.86;5.37;0.008180580787275588;99.9727354115967;C
3.2.30;Fita Veda-Rosca PTFE 18mm x 50m;Hidráulica;12.0;rolo;0.0;12.0;rolos;AÇU-3.DES-2.3100-16-EGS-015;R$ 10,81;R$ 129,72;129.72;10.81;0.0078108710417002;99.9805462826384;C
3.2.12;Curva de Transposição PVC Soldável Ø25mm;Hidráulica;14.0;unid;5.0;15.0;unidades;AÇU-3.DES-2.3100-16-EGS-015;R$ 7,88;R$ 110,32;110.32;7.88;0.0066427327576346435;99.98718901539604;C
2.1.9.6;Parafusos e Buchas Nylon S8 p/ Fixação Batentes;Arquitetura;192.0;unid;5.0;3.0;caixas 100un (202 un);AÇU-3.DES-2.3100-15-EGS-018;R$ 0,57;R$ 109,44;109.44;0.57;0.006589745041656414;99.99377876043769;C
2.1.9.8;Cola Branca PVA Madeira D3 (frascos 500g);Arquitetura;3.0;unid;5.0;4.0;frascos 500g;AÇU-3.DES-2.3100-15-EGS-018;R$ 18,44;R$ 55,32;55.32;18.44;0.0033310005089951826;99.99710976094669;C
2.1.9.7;Pregos sem Cabeça 12x12 p/ Alizares/Guarnições;Arquitetura;480.0;unid;5.0;5.0;pacotes 100un (504 un);AÇU-3.DES-2.3100-15-EGS-018;R$ 0,10;R$ 48,00;48.0;0.1;0.002890239053358076;100.00000000000004;C
